,precision,recall,f1-score,support
Normal,0.0,0.0,0.0,31.0
OSCC,0.753968253968254,1.0,0.8597285067873304,95.0
accuracy,0.753968253968254,0.753968253968254,0.753968253968254,0.753968253968254
macro avg,0.376984126984127,0.5,0.4298642533936652,126.0
weighted avg,0.5684681279919375,0.753968253968254,0.6482080011491776,126.0
