epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5046502351760864,0.5025880932807922,0.9747196435928345,0.5046502351760864,0.5046502351760864,0.7666666507720947,0.7666666507720947,0.8122037649154663,0.7666666507720947,0.7666666507720947
1,0.5072786211967468,0.5051255226135254,0.783262312412262,0.5072786211967468,0.5072786211967468,0.7666666507720947,0.7666666507720947,0.7491397857666016,0.7666666507720947,0.7666666507720947
2,0.5054589509963989,0.502678632736206,0.7437059283256531,0.5054589509963989,0.5054589509963989,0.7666666507720947,0.7666666507720947,0.7296153903007507,0.7666666507720947,0.7666666507720947
3,0.5196118354797363,0.5223888754844666,0.7260196805000305,0.5196118354797363,0.5196118354797363,0.7666666507720947,0.7647222280502319,0.7047948241233826,0.7666666507720947,0.7666666507720947
4,0.5097048282623291,0.5107845067977905,0.7161834836006165,0.5097048282623291,0.5097048282623291,0.7666666507720947,0.7666666507720947,0.7001084089279175,0.7666666507720947,0.7666666507720947
5,0.5155681371688843,0.5158694982528687,0.7089496850967407,0.5155681371688843,0.5155681371688843,0.7666666507720947,0.7666666507720947,0.6896400451660156,0.7666666507720947,0.7666666507720947
6,0.5208249092102051,0.5330873131752014,0.7037729024887085,0.5208249092102051,0.5208249092102051,0.7666666507720947,0.7799999713897705,0.6842188239097595,0.7666666507720947,0.7666666507720947
7,0.5248686075210571,0.5381860136985779,0.701251208782196,0.5248686075210571,0.5248686075210571,0.5083333253860474,0.534166693687439,0.7009859085083008,0.5083333253860474,0.5083333253860474
8,0.5438738465309143,0.564281702041626,0.6952890753746033,0.5438738465309143,0.5438738465309143,0.7083333134651184,0.7604166269302368,0.667533814907074,0.7083333134651184,0.7083333134651184
9,0.5382127165794373,0.5695152878761292,0.6923786401748657,0.5382127165794373,0.5382127165794373,0.6833333373069763,0.7654514312744141,0.6658022403717041,0.6833333373069763,0.6833333373069763
10,0.5547917485237122,0.593744695186615,0.6835994124412537,0.5547917485237122,0.5547917485237122,0.7666666507720947,0.7995138764381409,0.6353676915168762,0.7666666507720947,0.7666666507720947
11,0.578851580619812,0.6133193373680115,0.6783702373504639,0.578851580619812,0.578851580619812,0.6916666626930237,0.7631250023841858,0.6247891783714294,0.6916666626930237,0.6916666626930237
12,0.5653052926063538,0.607585072517395,0.6781554818153381,0.5653052926063538,0.5653052926063538,0.6916666626930237,0.7562500238418579,0.6267092227935791,0.6916666626930237,0.6916666626930237
13,0.5614638328552246,0.609463095664978,0.6767696142196655,0.5614638328552246,0.5614638328552246,0.6666666865348816,0.7374999523162842,0.6361194849014282,0.6666666865348816,0.6666666865348816
14,0.5758188366889954,0.6168246269226074,0.6770626902580261,0.5758188366889954,0.5758188366889954,0.699999988079071,0.7683333158493042,0.6235659718513489,0.699999988079071,0.699999988079071
15,0.5849171280860901,0.628487229347229,0.6726791858673096,0.5849171280860901,0.5849171280860901,0.7416666746139526,0.7648957967758179,0.6356121301651001,0.7416666746139526,0.7416666746139526
16,0.5786494016647339,0.6243301630020142,0.6705760955810547,0.5786494016647339,0.5786494016647339,0.7666666507720947,0.7752777338027954,0.6322434544563293,0.7666666507720947,0.7666666507720947
17,0.5762231945991516,0.6286745071411133,0.6707916259765625,0.5762231945991516,0.5762231945991516,0.7250000238418579,0.7663194537162781,0.6313938498497009,0.7250000238418579,0.7250000238418579
18,0.5899717211723328,0.642630934715271,0.6648850440979004,0.5899717211723328,0.5899717211723328,0.7416666746139526,0.7715972661972046,0.6195476651191711,0.7416666746139526,0.7416666746139526
